<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d2b269574476263476913283168e483fec8287572bafc3633a3722280b1d0d13
size 2120580
=======
	chr	start	stop	arm_location
TMEM200B	chr1	29119428	29123935	p
TSACC	chr1	156337314	156346995	q
TMEM82	chr1	15742422	15747982	p
NIT1	chr1	161118086	161125445	q
WDR64	chr1	241652278	241802133	q
OR10AA1P	chr1	158808399	158809335	q
RP11-109P14.10	chr1	37860697	37861580	p
DLEU2_6	chr1	63548977	63549112	p
RP11-348H3.2	chr1	212824027	212824505	q
RP11-307B6.3	chr1	201893842	201899978	q
MIR6741	chr1	225922080	225922142	q
MIR6723	chr1	631074	632616	p
RN7SL444P	chr1	151300665	151300964	q
FAM69A	chr1	92832737	92961522	p
MTMR11	chr1	149928651	149936898	q
RP11-14O19.2	chr1	95356229	95381000	p
RP11-475O6.1	chr1	83575776	83861023	p
EIF4A1P11	chr1	179201705	179201926	q
SCARNA11	chr1	13696070	13696199	p
RP11-226L15.5	chr1	160024953	160026794	q
RN7SL837P	chr1	230894141	230894427	q
RP11-312B8.1	chr1	6783892	6784843	p
TBC1D3P6	chr1	15989871	15994751	p
RP5-886K2.1	chr1	23705801	23706934	p
RNU4-42P	chr1	160392768	160392909	q
RP5-1066H13.4	chr1	40863914	40876670	p
ZNF672	chr1	248838210	248849517	q
KLHDC7A	chr1	18480982	18486126	p
WDR63	chr1	84999147	85133138	p
MIR6769B	chr1	206474803	206474864	q
RNU1-129P	chr1	148014417	148014583	q
ZNF101P2	chr1	192993449	192994677	q
RP11-385M4.2	chr1	209173014	209173375	q
FCRL2	chr1	157745733	157777132	q
MIR1537	chr1	235853000	235853060	q
NUDT4P2	chr1	146298170	146298715	q
RP11-84D1.2	chr1	24968423	24970865	p
TNN	chr1	175067858	175148066	q
TAS1R1	chr1	6555181	6579757	p
SNORA67	chr1	179196473	179196579	q
RP11-33E12.2	chr1	85152487	85154203	p
RP11-558F24.2	chr1	9660828	9662626	p
TRIM58	chr1	247857199	247878205	q
RLIMP2	chr1	113125321	113126883	p
RP11-286M16.1	chr1	229875550	229885752	q
RP11-96K19.4	chr1	110936369	110942353	p
RPS14P3	chr1	19608114	19608568	p
RP3-426I6.2	chr1	27739091	27739439	p
GIPC2	chr1	77979542	78138449	p
ZBED6	chr1	203796309	203800558	q
LINC01140	chr1	87129765	87169198	p
AL645728.1	chr1	1579756	1580046	p
SLC2A5	chr1	9035107	9088478	p
UQCRBP2	chr1	162541332	162541628	q
PPAP2B	chr1	56494747	56645301	p
RP1-206D15.5	chr1	169474060	169474159	q
OR2L5	chr1	248021948	248022886	q
ENAH	chr1	225486835	225653142	q
SNORA16B	chr1	212352816	212352950	q
SPATA17	chr1	217631324	217871696	q
SNORA70	chr1	202527310	202527427	q
KIAA1324	chr1	109113679	109206781	p
GALE	chr1	23795599	23800804	p
RP11-342M1.7	chr1	42886597	42888767	p
PRAMEF12	chr1	12774841	12777906	p
RP11-145A3.2	chr1	225710968	225736274	q
CAPZB	chr1	19338776	19485539	p
RP5-1011O1.2	chr1	192517639	192567217	q
RP11-740P5.3	chr1	2814432	2814998	p
RP4-612B15.3	chr1	86703502	86704462	p
RNU6-307P	chr1	174996524	174996629	q
MIR4428	chr1	237471119	237471191	q
ANGPTL1	chr1	178849705	178871052	q
PRELP	chr1	203475828	203491352	q
RNU11	chr1	28648600	28648730	p
RP11-115D7.3	chr1	40132764	40133448	p
OR2M2	chr1	248179986	248181029	q
RP11-334L9.1	chr1	38708931	38710890	p
RP11-345I18.1	chr1	179137764	179137934	q
SRGAP2-AS1	chr1	121360156	121398806	p
RPL7P9	chr1	96678874	96679620	p
ARTN	chr1	43933320	43937241	p
HAX1	chr1	154272511	154275875	q
RP11-20O24.1	chr1	109030067	109030319	p
ANKRD36BP1	chr1	168245565	168247343	q
RP11-739N20.2	chr1	204377850	204435846	q
WLS	chr1	68098473	68233120	p
RP11-195M16.1	chr1	109884176	109886264	p
ARHGAP30	chr1	161046946	161069970	q
RP5-1053E7.2	chr1	28109739	28110298	p
BTG2	chr1	203305491	203309602	q
Y_RNA	chr1	151841736	151841837	q
RP11-400N13.1	chr1	222089169	222387434	q
MIR6077	chr1	148388282	148388363	q
RNA5S2	chr1	228612509	228612627	q
GPR89B	chr1	147928393	147993521	q
RP3-522D1.2	chr1	112890767	112890922	p
FCRL4	chr1	157573749	157598080	q
RP11-131M11.3	chr1	33162851	33166298	p
CRTC2	chr1	153947669	153958625	q
TSEN15P2	chr1	51859778	51860135	p
CD2	chr1	116754385	116769228	p
AKR7A2	chr1	19303965	19312146	p
RNA5SP23	chr1	78375164	78375268	p
RP11-353N4.5	chr1	149677498	149747812	q
AC004824.2	chr1	17329012	17331796	p
FCGR2A	chr1	161505430	161524013	q
RNA5SP71	chr1	182944365	182944490	q
RP11-348H3.4	chr1	212853280	212853426	q
S100A12	chr1	153373706	153375649	q
RN7SL131P	chr1	36191915	36192170	p
RP1-69M21.2	chr1	11609531	11613355	p
RP11-443B7.2	chr1	234957231	234959989	q
OR2L2	chr1	248038268	248039206	q
RP11-337C18.10	chr1	147173186	147252659	q
NFASC	chr1	204828651	205022822	q
U1	chr1	16873708	16873851	p
RP11-552D4.1	chr1	230002730	230007162	q
SDCCAG3P2	chr1	175044626	175045648	q
HEYL	chr1	39624153	39639945	p
RP11-411H5.1	chr1	101723742	101729614	p
RP11-475E11.2	chr1	108766841	108767584	p
MEGF6	chr1	3489920	3611495	p
RIMKLA	chr1	42380795	42422578	p
AL390036.1	chr1	108018653	108018771	p
CDK18	chr1	205504595	205532793	q
INADL	chr1	61742477	62163920	p
CH17-409J4.1	chr1	13060869	13062229	p
CCDC24	chr1	43991359	43996528	p
DCAF8	chr1	160217464	160285130	q
RP4-745E8.2	chr1	20294211	20323187	p
EEF1A1P11	chr1	96446930	96448318	p
FMO8P	chr1	166566178	166580705	q
OR2L8	chr1	247948858	247949796	q
TADA1	chr1	166856510	166876327	q
FUBP1	chr1	77944055	77979110	p
PPM1J	chr1	112709994	112715477	p
RP4-798A10.2	chr1	16460948	16468481	p
PTP4A1P7	chr1	176616273	176616786	q
LELP1	chr1	153203443	153205120	q
RNA5SP41	chr1	13623184	13623284	p
FMO9P	chr1	166603675	166631400	q
PYCR2	chr1	225919877	225924340	q
MIR1262	chr1	68183518	68183610	p
RP11-93N20.1	chr1	74963314	74965118	p
COX20	chr1	244835322	244845057	q
SNORA25	chr1	110272484	110272607	p
RP11-495P10.8	chr1	148290890	148295859	q
RAVER2	chr1	64745095	64833232	p
FMO2	chr1	171185208	171211230	q
GCLM	chr1	93885205	93909456	p
RP11-490G2.2	chr1	97967005	97968814	p
OR10J4	chr1	159432204	159433138	q
C1orf131	chr1	231223763	231241187	q
MFSD4	chr1	205568885	205602918	q
ST6GALNAC3	chr1	76074719	76634601	p
RPS23P10	chr1	161536571	161538158	q
S100A11	chr1	152032506	152047907	q
LINC01132	chr1	234724042	234731643	q
TMEM88B	chr1	1426128	1427787	p
CH17-472G23.1	chr1	120197085	120319680	p
DPYD	chr1	97077743	97921049	p
ACADM	chr1	75724347	75787575	p
ZNF684	chr1	40531561	40548169	p
RP4-803A2.2	chr1	32986952	32988233	p
RP11-545A16.3	chr1	179586705	179589175	q
AL591806.1	chr1	161065865	161066153	q
LINC01353	chr1	203287152	203288801	q
OR6Y1	chr1	158547128	158548105	q
RP5-1027O11.1	chr1	87899909	87905714	p
RP11-6B6.3	chr1	205625483	205626153	q
MDS2	chr1	23581495	23640568	p
PIGQP1	chr1	55938714	55939280	p
RP1-163G9.2	chr1	3132927	3133709	p
ZMYM4-AS1	chr1	35358822	35366077	p
GPX7	chr1	52602372	52609051	p
PRAMEF17	chr1	13389632	13392629	p
INPP5B	chr1	37860697	37947057	p
RNVU1-14	chr1	145281116	145281462	q
TXLNA	chr1	32179686	32198285	p
SERTAD4-AS1	chr1	210231456	210234047	q
RP4-559A3.6	chr1	225936411	225937557	q
CH17-472G23.2	chr1	120267334	120341871	p
RNU2-30P	chr1	52754322	52754462	p
RP1-206D15.6	chr1	169486076	169486986	q
RP4-612B18.3	chr1	171803517	171803939	q
PLA2G2A	chr1	19975431	19980416	p
MIR5191	chr1	201719508	201719627	q
MIR6734	chr1	43364648	43364715	p
RP11-95P13.2	chr1	219557192	219557701	q
RNU1-4	chr1	16740516	16740679	p
MIR1302-10	chr1	29554	31109	p
NOTCH2NL	chr1	146113652	146229000	q
OR1C1	chr1	247757462	247758406	q
FOXJ3	chr1	42176539	42335877	p
SMIM1	chr1	3772788	3775982	p
RP11-293F5.8	chr1	21411460	21413293	p
RP11-5P4.3	chr1	63078081	63079031	p
CTA-215D11.4	chr1	8057245	8058463	p
GNRHR2	chr1	145919013	145925341	q
RP11-74C1.2	chr1	151557446	151557940	q
NEGR1-IT1	chr1	71794232	71837012	p
RP1-317E23.6	chr1	25811470	25823744	p
RP11-80B9.4	chr1	240739419	240739853	q
RP11-91A18.1	chr1	51980473	51980814	p
HIST2H2BC	chr1	149850193	149850772	q
ADH5P2	chr1	79521080	79522203	p
CHD5	chr1	6101793	6180123	p
RP11-233E12.1	chr1	106818239	106838167	p
SHISA4	chr1	201888680	201892306	q
RP11-480I12.9	chr1	202873294	202874326	q
HIST2H2AA4	chr1	149851061	149851624	q
BX323860.1	chr1	230049182	230049250	q
PPIAL4D	chr1	145241630	145242124	q
WI2-2118C23.2	chr1	248708202	248708641	q
EMC1	chr1	19215664	19251552	p
DCAF6	chr1	167935783	168075843	q
AL590683.2	chr1	24279767	24279855	p
DISC2	chr1	231814982	231815186	q
